gold,Program,MethodType,RequirementID,MethodID,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU,classGold
N,chess,Inner,3,18,0,1,0,0,1,0,0,0,1,0,0,0,NoTrace
N,chess,Inner,4,18,0,1,0,0,1,0,0,0,1,0,0,0,Trace
N,chess,Inner,5,18,0,1,0,0,1,0,0,0,1,0,0,0,NoTrace
N,chess,Inner,6,18,0,1,0,0,1,0,0,0,1,0,0,0,Trace
N,chess,Inner,7,18,0,1,0,0,1,0,0,0,1,0,0,0,Trace
N,chess,Inner,8,18,0,1,0,0,1,0,0,0,1,0,0,0,NoTrace
T,chess,Leaf,1,19,1,0,0,1,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,19,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,19,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,19,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,5,19,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,6,19,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,7,19,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,8,19,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Inner,1,22,0,1,0,0,1,0,0,1,1,0,1,1,Trace
N,chess,Inner,2,22,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace
N,chess,Inner,3,22,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace
N,chess,Inner,4,22,0,1,0,0,1,0,0,1,1,0,1,1,Trace
N,chess,Inner,5,22,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace
T,chess,Inner,6,22,1,0,0,1,1,0,1,0,1,1,0,1,Trace
T,chess,Inner,7,22,1,0,0,1,0,0,1,0,1,1,0,1,Trace
N,chess,Inner,8,22,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace
N,chess,Root,1,23,0,0,0,0,0,0,0,1,1,1,1,1,Trace
N,chess,Root,2,23,0,0,0,0,0,0,0,1,1,0,1,1,NoTrace
N,chess,Root,3,23,0,0,0,0,0,0,0,1,1,0,1,1,NoTrace
N,chess,Root,4,23,0,0,0,0,0,0,1,1,1,0,1,1,Trace
N,chess,Root,5,23,0,0,0,0,0,0,0,1,1,0,1,1,NoTrace
N,chess,Root,6,23,0,0,0,0,0,0,1,1,1,1,1,1,Trace
T,chess,Root,7,23,0,0,0,0,0,0,1,1,1,1,1,1,Trace
N,chess,Root,8,23,0,0,0,0,0,0,0,1,1,0,1,1,NoTrace
T,chess,Inner,1,24,1,0,0,0,0,0,1,0,0,1,0,1,Trace
N,chess,Inner,2,24,0,1,0,0,0,0,0,1,0,0,1,1,NoTrace
N,chess,Inner,3,24,0,1,0,0,0,0,0,1,0,0,1,1,NoTrace
N,chess,Inner,4,24,0,1,0,0,0,0,0,1,0,0,1,1,NoTrace
N,chess,Inner,5,24,0,1,0,0,0,0,0,1,0,1,1,1,Trace
N,chess,Inner,6,24,0,1,0,0,0,0,0,1,0,0,1,1,NoTrace
N,chess,Inner,7,24,0,1,0,0,0,0,0,1,0,0,1,1,NoTrace
N,chess,Inner,8,24,0,1,0,0,0,0,0,1,0,0,1,1,NoTrace
T,chess,Inner,1,26,1,0,0,1,0,0,1,0,0,1,0,0,Trace
N,chess,Inner,2,26,0,1,0,0,1,0,0,1,0,0,1,0,NoTrace
N,chess,Inner,3,26,0,1,0,0,1,0,0,1,0,0,1,0,NoTrace
N,chess,Inner,4,26,0,1,0,0,1,0,0,1,0,0,1,0,NoTrace
T,chess,Inner,5,26,0,1,0,0,1,0,1,1,0,1,1,0,Trace
N,chess,Inner,6,26,0,1,0,0,1,0,0,1,0,0,1,0,NoTrace
N,chess,Inner,7,26,0,1,0,0,1,0,0,1,0,0,1,0,NoTrace
N,chess,Inner,8,26,0,1,0,0,1,0,0,1,0,0,1,0,NoTrace
T,chess,Leaf,1,27,1,0,0,1,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,27,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,27,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,27,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,5,27,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,6,27,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,7,27,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,8,27,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
T,chess,Leaf,1,28,0,0,1,0,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,28,0,0,1,0,0,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,28,0,0,1,0,0,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,28,0,0,1,0,0,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,5,28,0,0,1,0,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,6,28,0,0,1,0,0,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,7,28,0,0,1,0,0,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,8,28,0,0,1,0,0,0,0,0,0,0,0,0,NoTrace
T,chess,Inner,1,29,1,0,0,1,0,0,1,0,0,1,0,0,Trace
N,chess,Inner,2,29,0,1,0,0,1,0,0,1,0,0,1,0,NoTrace
N,chess,Inner,3,29,0,1,0,0,1,0,0,1,0,0,1,0,NoTrace
N,chess,Inner,4,29,0,1,0,0,1,0,0,1,0,0,1,0,NoTrace
N,chess,Inner,5,29,0,1,0,0,1,0,0,1,0,0,1,0,Trace
N,chess,Inner,6,29,0,1,0,0,1,0,0,1,0,0,1,0,NoTrace
N,chess,Inner,7,29,0,1,0,0,1,0,0,1,0,0,1,0,NoTrace
N,chess,Inner,8,29,0,1,0,0,1,0,0,1,0,0,1,0,NoTrace
T,chess,Inner,1,30,1,0,0,1,0,0,1,0,1,1,1,0,Trace
N,chess,Inner,2,30,0,1,0,0,1,0,0,1,1,1,1,0,NoTrace
N,chess,Inner,3,30,0,1,0,0,1,0,0,1,1,0,1,0,NoTrace
N,chess,Inner,4,30,0,1,0,0,1,0,0,1,1,1,1,0,NoTrace
N,chess,Inner,5,30,0,1,0,0,1,0,1,1,1,1,1,0,Trace
N,chess,Inner,6,30,0,1,0,0,1,0,0,1,1,1,1,0,NoTrace
N,chess,Inner,7,30,0,1,0,0,1,0,0,1,1,1,1,0,NoTrace
N,chess,Inner,8,30,0,1,0,0,1,0,0,1,1,0,1,0,NoTrace
T,chess,Root,1,31,0,0,0,0,0,0,1,0,0,1,0,0,Trace
N,chess,Root,2,31,0,0,0,0,0,0,0,1,0,0,1,0,NoTrace
N,chess,Root,3,31,0,0,0,0,0,0,0,1,0,0,1,0,NoTrace
N,chess,Root,4,31,0,0,0,0,0,0,0,1,0,0,1,0,NoTrace
N,chess,Root,5,31,0,0,0,0,0,0,0,1,0,0,1,0,Trace
N,chess,Root,6,31,0,0,0,0,0,0,0,1,0,0,1,0,NoTrace
N,chess,Root,7,31,0,0,0,0,0,0,0,1,0,0,1,0,NoTrace
N,chess,Root,8,31,0,0,0,0,0,0,0,1,0,0,1,0,NoTrace
T,chess,Leaf,1,32,1,0,0,1,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,32,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,32,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,32,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,5,32,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,6,32,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,7,32,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,8,32,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
T,chess,Leaf,1,33,1,0,0,1,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,33,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,33,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,33,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,5,33,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,6,33,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,7,33,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,8,33,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
T,chess,Inner,1,34,0,0,1,0,0,0,1,0,1,1,1,0,Trace
N,chess,Inner,2,34,0,0,1,0,0,0,0,1,1,0,1,0,NoTrace
N,chess,Inner,3,34,0,0,1,0,0,0,0,1,1,0,1,0,NoTrace
N,chess,Inner,4,34,0,0,1,0,0,0,0,1,1,0,1,0,NoTrace
N,chess,Inner,5,34,0,0,1,0,0,0,0,1,1,0,1,0,Trace
N,chess,Inner,6,34,0,0,1,0,0,0,0,1,1,1,1,0,NoTrace
N,chess,Inner,7,34,0,0,1,0,0,0,0,1,1,1,1,0,NoTrace
N,chess,Inner,8,34,0,0,1,0,0,0,0,1,1,0,1,0,NoTrace
T,chess,Inner,1,35,1,0,0,1,0,0,1,0,0,0,0,0,Trace
N,chess,Inner,2,35,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,3,35,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,4,35,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,5,35,0,1,0,0,1,0,0,1,0,0,0,0,Trace
N,chess,Inner,6,35,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,7,35,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,8,35,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
T,chess,Leaf,1,36,1,0,0,1,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,36,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,36,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,36,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,5,36,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,6,36,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,7,36,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,8,36,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
T,chess,Inner,1,38,1,0,0,1,0,0,1,0,0,0,0,0,Trace
N,chess,Inner,2,38,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,3,38,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,4,38,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,5,38,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,6,38,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,7,38,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,8,38,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
T,chess,Inner,1,40,1,0,0,1,0,0,1,0,0,0,0,0,Trace
N,chess,Inner,2,40,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,3,40,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,4,40,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
