gold,Program,MethodType,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU,CompleteCallersCallees,classGold
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Low,-1,-1,Medium,-1,1,NoTrace,
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Low,-1,-1,Medium,-1,1,NoTrace,
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Low,-1,-1,Medium,-1,1,NoTrace,
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
T,chess,Inner,-1,-1,Low,-1,-1,-1,Medium,-1,Medium,Medium,Low,-1,0,Trace,
N,chess,Inner,-1,-1,Low,-1,-1,-1,-1,Medium,Medium,-1,Medium,-1,0,NoTrace,
N,chess,Inner,-1,-1,Low,-1,-1,-1,-1,Medium,Medium,-1,Medium,-1,0,NoTrace,
N,chess,Inner,-1,-1,Low,-1,-1,-1,-1,Medium,Medium,-1,Medium,-1,0,NoTrace,
N,chess,Inner,-1,-1,Low,-1,-1,-1,-1,Medium,Medium,-1,Medium,-1,0,Trace,
N,chess,Inner,-1,-1,Low,-1,-1,-1,-1,Medium,Medium,Low,Medium,-1,0,NoTrace,
N,chess,Inner,-1,-1,Low,-1,-1,-1,-1,Medium,Medium,Low,Medium,-1,0,NoTrace,
N,chess,Inner,-1,-1,Low,-1,-1,-1,-1,Medium,Medium,-1,Medium,-1,0,NoTrace,
T,chess,Inner,Low,-1,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,1,Trace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,-1,-1,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,-1,-1,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,-1,-1,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,-1,-1,1,Trace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,-1,-1,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,-1,-1,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,-1,-1,1,NoTrace,
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,1,Trace,
