gold,Program,MethodType,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
T,chess,Inner,Low,-1,-1,Low,-1,-1,-1,-1,Low,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,-1,Low,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,-1,Low,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,-1,Low,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,-1,Low,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,-1,Low,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,-1,Low,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,-1,Low,-1,-1,-1
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Medium,-1,-1,Medium,Medium,-1,Medium,Medium
N,chess,Inner,-1,Low,-1,-1,Medium,-1,-1,Medium,Medium,-1,Medium,Medium
N,chess,Inner,-1,Low,-1,-1,Medium,-1,-1,Medium,Medium,-1,Medium,Medium
N,chess,Inner,-1,Low,-1,-1,Medium,-1,-1,Medium,Medium,-1,Medium,Medium
N,chess,Inner,-1,Low,-1,-1,Medium,-1,-1,Medium,Medium,-1,Medium,Medium
T,chess,Inner,Low,-1,-1,Low,Low,-1,Medium,-1,Medium,Medium,-1,Medium
T,chess,Inner,Low,-1,-1,Medium,-1,-1,Medium,-1,Medium,Medium,-1,Medium
N,chess,Inner,-1,Low,-1,-1,Medium,-1,-1,Medium,Medium,-1,Medium,Medium
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Medium,Medium,Low,High,High
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Medium,Medium,-1,High,High
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Medium,Medium,-1,High,High
N,chess,Root,-1,-1,-1,-1,-1,-1,Low,Medium,Medium,-1,High,High
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Medium,Medium,-1,High,High
